index,grid_x,grid_y,world_x_m,world_y_m,segment_distance_m,cumulative_distance_m
78,67,29,0.5328688524590164,-0.21122950819672126,0.024969747888078302,1.9399542298005679
79,67,29,0.5558196721311476,-0.2210655737704918,0.024969747888078448,1.9649239776886462
80,67,29,0.5787704918032788,-0.23090163934426228,0.024969747888078427,1.9898937255767246
81,68,28,0.6017213114754099,-0.24073770491803276,0.024969747888078327,2.014863473464803
82,68,28,0.624672131147541,-0.25057377049180324,0.024969747888078427,2.0398332213528816
83,69,28,0.6476229508196722,-0.2604098360655738,0.024969747888078448,2.06480296924096
84,69,28,0.6705737704918033,-0.2702459016393442,0.024969747888078302,2.0897727171290383
85,70,28,0.6935245901639345,-0.28008196721311474,0.024969747888078448,2.114742465017117
86,70,28,0.7164754098360656,-0.2899180327868852,0.024969747888078327,2.139712212905195
87,71,27,0.7394262295081968,-0.29975409836065575,0.024969747888078448,2.1646819607932737
88,71,27,0.762377049180328,-0.30959016393442623,0.024969747888078427,2.1896517086813523
89,72,27,0.785327868852459,-0.31942622950819666,0.0249697478880782,2.2146214565694304
90,72,27,0.8082786885245902,-0.3292622950819672,0.024969747888078448,2.239591204457509
91,73,27,0.8312295081967214,-0.3390983606557377,0.024969747888078427,2.2645609523455876
92,73,26,0.8541803278688526,-0.34893442622950815,0.024969747888078427,2.2895307002336662
93,73,26,0.8771311475409838,-0.3587704918032787,0.024969747888078448,2.314500448121745
94,74,26,0.900081967213115,-0.36860655737704917,0.024969747888078427,2.3394701960098234
95,74,26,0.9230327868852459,-0.3784426229508196,0.0249697478880782,2.3644399438979016
96,75,26,0.9459836065573771,-0.38827868852459013,0.024969747888078448,2.38940969178598
97,75,25,0.9689344262295083,-0.3981147540983606,0.024969747888078427,2.4143794396740588
98,76,25,0.9918852459016394,-0.40795081967213115,0.024969747888078347,2.439349187562137
99,76,25,1.0148360655737705,-0.41778688524590163,0.024969747888078327,2.464318935450215
100,77,25,1.0377868852459018,-0.4276229508196721,0.024969747888078528,2.4892886833382937
101,77,25,1.0607377049180327,-0.43745901639344253,0.024969747888078098,2.514258431226372
102,78,24,1.083688524590164,-0.44729508196721307,0.024969747888078552,2.5392281791144504
103,78,24,1.106639344262295,-0.45713114754098355,0.024969747888078327,2.5641979270025286
104,78,24,1.1295901639344261,-0.4669672131147541,0.024969747888078347,2.5891676748906067
105,79,24,1.1525409836065574,-0.47680327868852457,0.024969747888078528,2.6141374227786853
106,79,24,1.1754918032786885,-0.48663934426229505,0.024969747888078327,2.6391071706667635
107,80,23,1.1984426229508196,-0.49647540983606553,0.024969747888078327,2.6640769185548416
108,80,23,1.2213934426229507,-0.506311475409836,0.024969747888078327,2.68904666644292
109,81,23,1.244344262295082,-0.5161475409836065,0.024969747888078528,2.7140164143309984
110,81,23,1.267295081967213,-0.525983606557377,0.024969747888078327,2.7389861622190765
111,82,23,1.2902459016393444,-0.5358196721311476,0.024969747888078573,2.763955910107155
112,82,22,1.3131967213114755,-0.545655737704918,0.024969747888078327,2.7889256579952333
113,83,22,1.3361475409836066,-0.5554918032786884,0.02496974788807828,2.8138954058833114
114,83,22,1.3590983606557376,-0.565327868852459,0.024969747888078368,2.8388651537713896
115,84,22,1.382049180327869,-0.5751639344262295,0.024969747888078528,2.863834901659468
116,84,22,1.405,-0.585,0.024969747888078327,2.8888046495475463
